Section,Symbol,Address,Type,Comment,Module
Main,S_FungalButton,%I2.1,BOOL,Fungal Button (Emergency Stop),CPU K508-40AX
Right,S_StopRight,%I2.2,BOOL,Switch stop right,CPU K508-40AX
Right,S_StartRight,%I2.3,BOOL,Switch start right,CPU K508-40AX
Right,S_PedalRight,%I2.6,BOOL,Pedal right,CPU K508-40AX
Main,SW1,%I3.4,BOOL,Switch ON / OFF Conveyor,EXP1 K523-16DR
Right,SW2,%I3.3,BOOL,Switch Change Grafting mode,EXP1 K523-16DR
Main,SW3,%I3.2,BOOL,Empty Switch,EXP1 K523-16DR
Right,I_Griper1,%I0.0,BOOL,Sensor Griper 2 (MainGriper) Right,CPU K508-40AX
Right,I_TN1,%I0.1,BOOL,Sensor MainTN Right,CPU K508-40AX
Right,I_TN2,%I0.2,BOOL,Sensor Blade Right,CPU K508-40AX
Right,I_TN3,%I0.3,BOOL,Sensor Finger Bottom - Right,CPU K508-40AX
Right,I_TN4,%I0.4,BOOL,Sensor finger top - right,CPU K508-40AX
Right,,%I0.5,BOOL,Empty Input,CPU K508-40AX
Right,I_HRQ1_O,%I0.6,BOOL,Sensor right arm is open,CPU K508-40AX
Right,I_HRQ1_C,%I0.7,BOOL,Sensor right arm is close,CPU K508-40AX
Right,QR_Griper4,%Q0.0,BOOL,Griper Right 4 (Def Open),CPU K508-40AX
Right,QR_Griper_1,%Q0.1,BOOL,Griper Right 1 (Def is open),CPU K508-40AX
Right,QR_TN1,%Q0.2,BOOL,TN Piston Main Right (Def close),CPU K508-40AX
Right,QR_TN2,%Q0.3,BOOL,TN Piston Blade right (Def close),CPU K508-40AX
Right,QR_TN3,%Q0.4,BOOL,TN Piston Finger bottom Right (Def close),CPU K508-40AX
Right,QR_TN4,%Q0.5,BOOL,TN Piston finger top right (Def related with SW2),CPU K508-40AX
Right,QR_HRQ1,%Q0.6,BOOL,Right Rotary Piston (Def close),CPU K508-40AX
Right,QR_Light_G,%Q2.0,BOOL,Green Light Right,EXP1 K523-16DR
Right,QR_Light_R,%Q2.1,BOOL,Red Light Right,EXP1 K523-16DR
Right,QR_Light_O,%Q3.2,BOOL,Orange Light Right,EXP2 K523-16DR
Main,QM_Main,%Q3.1,BOOL,Main Airflow Solenoid Valve,EXP2 K523-16DR
Right,MStart_Right,%M0.0,BOOL,Memory start right,Memory
